label_regime,feature_set,features,roc_auc,roc_auc_per_fold_std,n_folds_with_both_classes,pr_auc,n_splits,n,n_wrong
strict,baseline_output_confidence,"['first_content_token_prob', 'sequence_content_logprob_mean', 'answer_length_content_tokens']",0.7974410599467427,0.033445841686617496,5,0.6392186827531096,5,1221,356
strict,workspace_noise_single,['workspace_noise_score'],0.5835552380333832,0.037687270163962526,5,0.332553232471428,5,1221,356
strict,workspace_compact,"['late_entropy_topk_mean', 'late_top1_dominance_topk_mean', 'late_top1_churn_rate']",0.5529616158992012,0.031296754112520836,5,0.32244202028853247,5,1221,356
strict,workspace_full,"['late_entropy_topk_mean', 'late_entropy_topk_std', 'late_entropy_topk_slope', 'late_effective_concepts_topk_mean', 'late_top1_dominance_topk_mean', 'late_top1_margin_mean', 'late_distinct_top1_count', 'late_top1_churn_rate', 'late_top5_jaccard_adjacent_mean']",0.6001753588361368,0.029012231440761257,5,0.34607103229991726,5,1221,356
strict,combined_compact,"['first_content_token_prob', 'sequence_content_logprob_mean', 'answer_length_content_tokens', 'late_entropy_topk_mean', 'late_top1_dominance_topk_mean', 'late_top1_churn_rate']",0.8005065921932845,0.0333585320062974,5,0.6335720154435179,5,1221,356
strict,combined_full,"['first_content_token_prob', 'sequence_content_logprob_mean', 'answer_length_content_tokens', 'late_entropy_topk_mean', 'late_entropy_topk_std', 'late_entropy_topk_slope', 'late_effective_concepts_topk_mean', 'late_top1_dominance_topk_mean', 'late_top1_margin_mean', 'late_distinct_top1_count', 'late_top1_churn_rate', 'late_top5_jaccard_adjacent_mean']",0.7996460349418717,0.03671246284390962,5,0.6376128291082287,5,1221,356
strict,workspace_late_late_single,['late_late_entropy_topk_mean'],0.5835552380333832,0.037687270163962526,5,0.332553232471428,5,1221,356
strict,workspace_late_late_full,"['late_late_entropy_topk_mean', 'late_late_entropy_topk_std', 'late_late_entropy_topk_slope']",0.604101448334091,0.029259176066476947,5,0.3701671423743189,5,1221,356
strict,commitment_dynamics_single,['late_top1_dominance_topk_mean'],0.5613106449308306,0.043018747931885745,5,0.32156741313433845,5,1221,356
strict,commitment_dynamics_full,"['late_top1_dominance_topk_mean', 'late_top1_dominance_last3_max_minus_mean', 'late_top1_churn_rate']",0.5549490160420861,0.03685937309270171,5,0.3158909965129579,5,1221,356
strict,layer_l33_single,['layer_l33_entropy_topk'],0.5620607910631941,0.04024216492670942,5,0.33072033886422947,5,1221,356
