label_regime,feature_set,features,roc_auc,roc_auc_per_fold_std,n_folds_with_both_classes,pr_auc,n_splits,n,n_wrong
strict,baseline_output_confidence,"['first_content_token_prob', 'sequence_content_logprob_mean', 'answer_length_content_tokens']",0.8042831076538941,0.12889558320373404,5,0.9955242726303211,5,814,801
strict,workspace_noise_single,['workspace_noise_score'],0.6816479400749064,0.2335790887817275,5,0.9877723614267003,5,814,801
strict,workspace_compact,"['late_entropy_topk_mean', 'late_top1_dominance_topk_mean', 'late_top1_churn_rate']",0.6560069144338807,0.15876347396881407,5,0.9889008419707535,5,814,801
strict,workspace_full,"['late_entropy_topk_mean', 'late_entropy_topk_std', 'late_entropy_topk_slope', 'late_effective_concepts_topk_mean', 'late_top1_dominance_topk_mean', 'late_top1_margin_mean', 'late_distinct_top1_count', 'late_top1_churn_rate', 'late_top5_jaccard_adjacent_mean']",0.5970421588399115,0.17530204448243186,5,0.9851949948621104,5,814,801
strict,combined_compact,"['first_content_token_prob', 'sequence_content_logprob_mean', 'answer_length_content_tokens', 'late_entropy_topk_mean', 'late_top1_dominance_topk_mean', 'late_top1_churn_rate']",0.7988091808316529,0.10062781466745603,5,0.9951465448794014,5,814,801
strict,combined_full,"['first_content_token_prob', 'sequence_content_logprob_mean', 'answer_length_content_tokens', 'late_entropy_topk_mean', 'late_entropy_topk_std', 'late_entropy_topk_slope', 'late_effective_concepts_topk_mean', 'late_top1_dominance_topk_mean', 'late_top1_margin_mean', 'late_distinct_top1_count', 'late_top1_churn_rate', 'late_top5_jaccard_adjacent_mean']",0.707192931912033,0.1825523588737792,5,0.9921201984029604,5,814,801
strict,workspace_late_late_single,['late_late_entropy_topk_mean'],0.6816479400749064,0.2335790887817275,5,0.9877723614267003,5,814,801
strict,workspace_late_late_full,"['late_late_entropy_topk_mean', 'late_late_entropy_topk_std', 'late_late_entropy_topk_slope']",0.6844329203879765,0.2474890144303482,5,0.9877362015203496,5,814,801
strict,commitment_dynamics_single,['late_top1_dominance_topk_mean'],0.5858062037837318,0.19243875902234475,5,0.9852772245894885,5,814,801
strict,commitment_dynamics_full,"['late_top1_dominance_topk_mean', 'late_top1_dominance_last3_max_minus_mean', 'late_top1_churn_rate']",0.672428694900605,0.14578397473970106,5,0.9901453877382761,5,814,801
